Package,LibPath,Version,Priority,Built
abind,/Users/mm06742/Library/R/3.4/library,1.4-5,NA,3.4.0
babynames,/Users/mm06742/Library/R/3.4/library,0.3.0,NA,3.4.0
binda,/Users/mm06742/Library/R/3.4/library,1.0.3,NA,3.4.0
broom,/Users/mm06742/Library/R/3.4/library,0.4.5,NA,3.4.4
caret,/Users/mm06742/Library/R/3.4/library,6.0-80,NA,3.4.4
classInt,/Users/mm06742/Library/R/3.4/library,0.2-3,NA,3.4.4
clisymbols,/Users/mm06742/Library/R/3.4/library,1.2.0,NA,3.4.0
combinat,/Users/mm06742/Library/R/3.4/library,0.0-8,NA,3.4.0
corrplot,/Users/mm06742/Library/R/3.4/library,0.84,NA,3.4.2
cowplot,/Users/mm06742/Library/R/3.4/library,0.9.3,NA,3.4.4
CVST,/Users/mm06742/Library/R/3.4/library,0.2-2,NA,3.4.4
data.table,/Users/mm06742/Library/R/3.4/library,1.11.4,NA,3.4.4
ddalpha,/Users/mm06742/Library/R/3.4/library,1.3.4,NA,3.4.4
DEoptimR,/Users/mm06742/Library/R/3.4/library,1.0-8,NA,3.4.0
desc,/Users/mm06742/Library/R/3.4/library,1.2.0,NA,3.4.4
dimRed,/Users/mm06742/Library/R/3.4/library,0.1.0,NA,3.4.0
DRR,/Users/mm06742/Library/R/3.4/library,0.0.3,NA,3.4.3
e1071,/Users/mm06742/Library/R/3.4/library,1.6-8,NA,3.4.0
EDAWR,/Users/mm06742/Library/R/3.4/library,0.1,NA,3.4.2
enc,/Users/mm06742/Library/R/3.4/library,0.2.0,NA,3.4.3
entropy,/Users/mm06742/Library/R/3.4/library,1.2.1,NA,3.4.0
foreach,/Users/mm06742/Library/R/3.4/library,1.4.4,NA,3.4.3
forecast,/Users/mm06742/Library/R/3.4/library,8.4,NA,3.4.4
fracdiff,/Users/mm06742/Library/R/3.4/library,1.4-2,NA,3.4.0
fs,/Users/mm06742/Library/R/3.4/library,1.2.5,NA,3.4.4
gbm,/Users/mm06742/Library/R/3.4/library,2.1.3,NA,3.4.0
gdata,/Users/mm06742/Library/R/3.4/library,2.18.0,NA,3.4.0
geometry,/Users/mm06742/Library/R/3.4/library,0.3-6,NA,3.4.0
ggdendro,/Users/mm06742/Library/R/3.4/library,0.1-20,NA,3.4.0
ggplot2,/Users/mm06742/Library/R/3.4/library,3.0.0.9000,NA,3.4.2
gh,/Users/mm06742/Library/R/3.4/library,1.0.1,NA,3.4.1
glmnet,/Users/mm06742/Library/R/3.4/library,2.0-16,NA,3.4.4
gower,/Users/mm06742/Library/R/3.4/library,0.1.2,NA,3.4.0
